genes	m0 control1	m0 control2	m0 control3	m0 control4	m0 Latex	m0 E. coli	m0 EHEC	m0 S. typhi	m0 S. typhimirium	m0 S. aureus	m0 L. monocytogenes	m0 M. tuberculosis	m0 M. bovis BCG	m0 LPS E	m0 LPS S	m0 LTA	m0 MDP	m0 TB hsp70	m0 BCG hsp65	m0 MPA	m0 f-MLP	m0 Protein A	m0 Mannose	m0 IFN-alpha	m0 IFN-beta	m0 IFN-gamma	m0 IL-10	m0 IL-12	m0 (U937) control1	m0 (U937) B. pertussis 338	m0 (U937) B. pertussis 537 (avirulent)	m0 (U937) B. pertussis A2-6 (AC-)	m0 (U937) B. pertussis Tox6 (PT-)	DC control1	DC control2	DC control3	DC E. coli 	DC Influenza 	DC C. albicans 	DC LPS 	DC PolyIC 	DC Mannan 
GAPD	             NaN	             NaN	             NaN	             NaN	1.8731	             NaN	1.1458	             NaN	             NaN	             NaN	1.3497	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.2681	1.312	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0991	             NaN	             NaN	             NaN	             NaN	             NaN	1.0226	1.1947	1.0288	1.3757	1.4577	             NaN	1.2655	1.0866	             NaN
ACTB	             NaN	             NaN	             NaN	             NaN	2.295	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0105	             NaN	             NaN	             NaN	             NaN	1.3143	             NaN	             NaN	             NaN	             NaN	             NaN	1.0522	             NaN	1.6131	1.4304	1.4602	             NaN	             NaN	             NaN	             NaN	             NaN	1.0218	3.6667	1.3157	1.3223	1.3541	             NaN	1.9964	             NaN	1.3208
CAPG	             NaN	             NaN	1.0455	             NaN	1.8407	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0096	             NaN	1.0728	1.9899	1.8121	             NaN	2.9201	2.4953	             NaN
HLA-A	             NaN	             NaN	1.5117	             NaN	1.6581	             NaN	1.2456	             NaN	             NaN	1.0578	1.5969	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3576	1.202	             NaN	             NaN	             NaN	             NaN	             NaN	1.1247	1.1067	1.1241	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.5357	             NaN	1.7594	2.1641	             NaN	1.9093	1.8923	1
GM2A	             NaN	             NaN	             NaN	             NaN	1.6928	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3099	1.1098	1.1092	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	4.4449	             NaN	1.8224	1.2049	             NaN	1.548	1.6133	             NaN
TMSB10	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.8323	1.0236	2.3628	2.7387	             NaN	3.2358	2.9625	             NaN
ENO1	             NaN	             NaN	             NaN	             NaN	1.4836	1.527	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.8573	             NaN	             NaN	             NaN	             NaN	1.74	1.11	             NaN	1.12	             NaN	4.329	1.1752	1.9776	1.4502	             NaN	1.1667	2.9416	             NaN
CD63	             NaN	             NaN	             NaN	             NaN	1.1547	             NaN	             NaN	             NaN	             NaN	             NaN	1.1799	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	3.0598	             NaN	1.9632	1.9592	1.9427	2.3612	2.548	             NaN
ANXA2	             NaN	             NaN	             NaN	             NaN	2.0929	             NaN	1.2073	             NaN	             NaN	1.0988	1.4098	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0382	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.0125	             NaN	1.3004	1.2965	1.063	             NaN	1.424	1.7662	             NaN
SQSTM1	             NaN	             NaN	             NaN	             NaN	1.2685	             NaN	             NaN	             NaN	             NaN	1.0859	1.6016	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.3499	1.2145	1.6839	1.189	             NaN	             NaN	             NaN	             NaN	             NaN	             NaN	1.9743	1.5201	1.198	1.1315	1.5388	1.5655	2.1375	1.4057	             NaN
